"filename", "language", "TypeScript", "Less", "HTML", "XML", "CSS", "GraphQL", "comment", "blank", "total"
"f:\VKR\app\frontend\src\app\app-routing.module.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 47, 14, 111
"f:\VKR\app\frontend\src\app\app.component.html", "HTML", 0, 0, 3, 0, 0, 0, 0, 0, 3
"f:\VKR\app\frontend\src\app\app.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\VKR\app\frontend\src\app\app.component.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 5, 43
"f:\VKR\app\frontend\src\app\app.module.ts", "TypeScript", 106, 0, 0, 0, 0, 0, 19, 16, 141
"f:\VKR\app\frontend\src\app\core\auth\auth.graphql", "GraphQL", 0, 0, 0, 0, 0, 17, 0, 1, 18
"f:\VKR\app\frontend\src\app\core\auth\auth.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 2, 16
"f:\VKR\app\frontend\src\app\core\auth\auth.service.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 25, 12, 108
"f:\VKR\app\frontend\src\app\core\auth\guards\auth.guard.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 34, 8, 86
"f:\VKR\app\frontend\src\app\core\auth\guards\noAuth.guard.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 37, 11, 91
"f:\VKR\app\frontend\src\app\core\core.module.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 4, 2, 25
"f:\VKR\app\frontend\src\app\core\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 2, 5
"f:\VKR\app\frontend\src\app\core\interceptors\http.token.interceptor.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 1, 7, 28
"f:\VKR\app\frontend\src\app\core\interceptors\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"f:\VKR\app\frontend\src\app\core\models\auth-user.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 7
"f:\VKR\app\frontend\src\app\core\models\errors.model.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"f:\VKR\app\frontend\src\app\core\models\index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"f:\VKR\app\frontend\src\app\core\models\profile.model.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 1, 8
"f:\VKR\app\frontend\src\app\core\models\sidebar.metadata.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 1, 1, 10
"f:\VKR\app\frontend\src\app\core\models\tableColumn.model.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"f:\VKR\app\frontend\src\app\core\models\tree-node.model.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 5
"f:\VKR\app\frontend\src\app\core\models\user.model.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"f:\VKR\app\frontend\src\app\core\services\api.service.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 8, 49
"f:\VKR\app\frontend\src\app\core\services\index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"f:\VKR\app\frontend\src\app\core\services\jwt.service.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 7, 22
"f:\VKR\app\frontend\src\app\core\services\profiles.service.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 5, 22
"f:\VKR\app\frontend\src\app\core\services\user\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"f:\VKR\app\frontend\src\app\core\services\user\user.service.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 2, 8, 45
"f:\VKR\app\frontend\src\app\graphql.module.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\VKR\app\frontend\src\app\layout\layout.component.html", "HTML", 0, 0, 20, 0, 0, 0, 73, 15, 108
"f:\VKR\app\frontend\src\app\layout\layout.component.less", "Less", 0, 59, 0, 0, 0, 0, 0, 14, 73
"f:\VKR\app\frontend\src\app\layout\layout.component.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 16, 20, 78
"f:\VKR\app\frontend\src\app\layout\layout.module.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 3, 7, 34
