"filename", "language", "TypeScript", "HTML", "GraphQL", "comment", "blank", "total"
"f:\VKR\app\frontend\src\app\app-routing.module.ts", "TypeScript", 2, 0, 0, -6, -2, -6
"f:\VKR\app\frontend\src\app\app.module.ts", "TypeScript", -1, 0, 0, 0, 0, -1
"f:\VKR\app\frontend\src\app\core\interceptors\http.token.interceptor.ts", "TypeScript", -1, 0, 0, 1, 0, 0
"f:\VKR\app\frontend\src\app\modules\client-card\analyzes\analyzeFormTemplates.ts", "TypeScript", 144, 0, 0, 0, 6, 150
"f:\VKR\app\frontend\src\app\modules\client-card\analyzes\analyzes-add-edit\analyzes.component.html", "HTML", 0, 79, 0, 0, 1, 80
"f:\VKR\app\frontend\src\app\modules\client-card\analyzes\analyzes-add-edit\analyzes.component.ts", "TypeScript", 178, 0, 0, 11, 24, 213
"f:\VKR\app\frontend\src\app\modules\client-card\analyzes\view\analyzes-view.component.html", "HTML", 0, 40, 0, 0, 4, 44
"f:\VKR\app\frontend\src\app\modules\client-card\analyzes\view\analyzes-view.component.ts", "TypeScript", 121, 0, 0, 9, 14, 144
"f:\VKR\app\frontend\src\app\modules\client-card\client-card-routing.module.ts", "TypeScript", 30, 0, 0, 0, -1, 29
"f:\VKR\app\frontend\src\app\modules\client-card\client-card.graphql", "GraphQL", 0, 0, 79, 6, 10, 95
"f:\VKR\app\frontend\src\app\modules\client-card\client-card.module.ts", "TypeScript", 13, 0, 0, 0, 0, 13
"f:\VKR\app\frontend\src\app\modules\client-card\client-card.service.ts", "TypeScript", 124, 0, 0, 42, 13, 179
"f:\VKR\app\frontend\src\app\modules\client-card\client\client-detail\client-detail.component.html", "HTML", 0, 25, 0, 3, 1, 29
"f:\VKR\app\frontend\src\app\modules\client-card\client\client-detail\client-detail.component.ts", "TypeScript", 37, 0, 0, 1, 7, 45
"f:\VKR\app\frontend\src\app\modules\client-card\client\client.component.html", "HTML", 0, 7, 0, 0, 0, 7
"f:\VKR\app\frontend\src\app\modules\client-card\client\client.component.ts", "TypeScript", 6, 0, 0, 2, 1, 9
"f:\VKR\app\frontend\src\app\modules\client-card\document-generate.service.ts", "TypeScript", 508, 0, 0, 31, 66, 605
"f:\VKR\app\frontend\src\app\modules\client-card\models\analyzeType.ts", "TypeScript", 7, 0, 0, 0, 2, 9
"f:\VKR\app\frontend\src\app\modules\client-card\models\documentsToGenerate.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"f:\VKR\app\frontend\src\app\modules\client-card\pet\pet.component.html", "HTML", 0, 43, 0, 3, -1, 45
"f:\VKR\app\frontend\src\app\modules\client-card\pet\pet.component.ts", "TypeScript", 229, 0, 0, 7, 23, 259
"f:\VKR\app\frontend\src\app\modules\client-card\reception\new-and-edit\reception.component.html", "HTML", 0, 393, 0, 6, 15, 414
"f:\VKR\app\frontend\src\app\modules\client-card\reception\new-and-edit\reception.component.ts", "TypeScript", 288, 0, 0, 10, 44, 342
"f:\VKR\app\frontend\src\app\modules\client-card\reception\new\reception.component.html", "HTML", 0, -366, 0, -6, -16, -388
"f:\VKR\app\frontend\src\app\modules\client-card\reception\new\reception.component.ts", "TypeScript", -239, 0, 0, -17, -44, -300
